Calibration metrics:
x0: Cal. error 0.4320, RMSE 0.1908, R2 -0.2813
x1: Cal. error 0.3790, RMSE 0.1650, R2 0.0506
x2: Cal. error 0.4030, RMSE 0.1819, R2 -0.1482
x3: Cal. error 0.4010, RMSE 0.1891, R2 -0.2288
x4: Cal. error 0.3960, RMSE 0.1869, R2 -0.1950
x5: Cal. error 0.3890, RMSE 0.1947, R2 -0.2983
x6: Cal. error 0.3770, RMSE 0.1944, R2 -0.2944
x7: Cal. error 0.3790, RMSE 0.1994, R2 -0.3649
x8: Cal. error 0.3710, RMSE 0.1949, R2 -0.3078
x9: Cal. error 0.3860, RMSE 0.1947, R2 -0.3189
x10: Cal. error 0.3880, RMSE 0.1907, R2 -0.2785
x11: Cal. error 0.3900, RMSE 0.1908, R2 -0.2955
x12: Cal. error 0.3640, RMSE 0.1826, R2 -0.2045
x13: Cal. error 0.3600, RMSE 0.1839, R2 -0.2380
x14: Cal. error 0.3570, RMSE 0.1798, R2 -0.1997
x15: Cal. error 0.3640, RMSE 0.1798, R2 -0.2166
x16: Cal. error 0.3450, RMSE 0.1725, R2 -0.1369
x17: Cal. error 0.3610, RMSE 0.1727, R2 -0.1529
x18: Cal. error 0.3520, RMSE 0.1696, R2 -0.1227
x19: Cal. error 0.3700, RMSE 0.1714, R2 -0.1564
x20: Cal. error 0.3640, RMSE 0.1698, R2 -0.1421
x21: Cal. error 0.3710, RMSE 0.1775, R2 -0.2516
x22: Cal. error 0.3780, RMSE 0.1826, R2 -0.3282
x23: Cal. error 0.3830, RMSE 0.1917, R2 -0.4638
x24: Cal. error 0.3750, RMSE 0.1944, R2 -0.5009
x25: Cal. error 0.3810, RMSE 0.2030, R2 -0.6312
x26: Cal. error 0.3670, RMSE 0.2085, R2 -0.7091
x27: Cal. error 0.3490, RMSE 0.2190, R2 -0.8757
x28: Cal. error 0.3660, RMSE 0.2254, R2 -0.9686
x29: Cal. error 0.3900, RMSE 0.2404, R2 -1.2171
x30: Cal. error 0.4100, RMSE 0.2474, R2 -1.3303
