Calibration metrics:
x0: Cal. error 0.2820, RMSE 0.1278, R2 0.4254
x1: Cal. error 0.0900, RMSE 0.0962, R2 0.6772
x2: Cal. error 0.0330, RMSE 0.0917, R2 0.7081
x3: Cal. error 0.0270, RMSE 0.0849, R2 0.7520
x4: Cal. error 0.0470, RMSE 0.0823, R2 0.7679
x5: Cal. error 0.0420, RMSE 0.0803, R2 0.7795
x6: Cal. error 0.0400, RMSE 0.0792, R2 0.7850
x7: Cal. error 0.0400, RMSE 0.0810, R2 0.7750
x8: Cal. error 0.0490, RMSE 0.0819, R2 0.7690
x9: Cal. error 0.0680, RMSE 0.0802, R2 0.7765
x10: Cal. error 0.0540, RMSE 0.0793, R2 0.7788
x11: Cal. error 0.0450, RMSE 0.0808, R2 0.7675
x12: Cal. error 0.0440, RMSE 0.0822, R2 0.7563
x13: Cal. error 0.0390, RMSE 0.0837, R2 0.7434
x14: Cal. error 0.0230, RMSE 0.0833, R2 0.7423
x15: Cal. error 0.0230, RMSE 0.0833, R2 0.7390
x16: Cal. error 0.0270, RMSE 0.0819, R2 0.7436
x17: Cal. error 0.0220, RMSE 0.0817, R2 0.7417
x18: Cal. error 0.0260, RMSE 0.0821, R2 0.7370
x19: Cal. error 0.0360, RMSE 0.0837, R2 0.7244
x20: Cal. error 0.0560, RMSE 0.0844, R2 0.7178
x21: Cal. error 0.0640, RMSE 0.0854, R2 0.7102
x22: Cal. error 0.0890, RMSE 0.0859, R2 0.7061
x23: Cal. error 0.1150, RMSE 0.0879, R2 0.6926
x24: Cal. error 0.1330, RMSE 0.0893, R2 0.6834
x25: Cal. error 0.1300, RMSE 0.0918, R2 0.6664
x26: Cal. error 0.1390, RMSE 0.0941, R2 0.6519
x27: Cal. error 0.1490, RMSE 0.0965, R2 0.6356
x28: Cal. error 0.1590, RMSE 0.0994, R2 0.6176
x29: Cal. error 0.1610, RMSE 0.1022, R2 0.5993
x30: Cal. error 0.1760, RMSE 0.1025, R2 0.6002
x31: Cal. error 0.1770, RMSE 0.1042, R2 0.5897
x32: Cal. error 0.1820, RMSE 0.1047, R2 0.5899
x33: Cal. error 0.1710, RMSE 0.1051, R2 0.5897
x34: Cal. error 0.1500, RMSE 0.1050, R2 0.5935
x35: Cal. error 0.1220, RMSE 0.1064, R2 0.5871
x36: Cal. error 0.1060, RMSE 0.1064, R2 0.5885
x37: Cal. error 0.0560, RMSE 0.1049, R2 0.5957
x38: Cal. error 0.0390, RMSE 0.1036, R2 0.6097
x39: Cal. error 0.0440, RMSE 0.1053, R2 0.6029
x40: Cal. error 0.0550, RMSE 0.1060, R2 0.5984
x41: Cal. error 0.0670, RMSE 0.1065, R2 0.5963
x42: Cal. error 0.0900, RMSE 0.1058, R2 0.6044
x43: Cal. error 0.0900, RMSE 0.1070, R2 0.5988
x44: Cal. error 0.0750, RMSE 0.1076, R2 0.5968
x45: Cal. error 0.0630, RMSE 0.1080, R2 0.5930
x46: Cal. error 0.0540, RMSE 0.1081, R2 0.5923
x47: Cal. error 0.0590, RMSE 0.1097, R2 0.5800
x48: Cal. error 0.0600, RMSE 0.1085, R2 0.5839
x49: Cal. error 0.0570, RMSE 0.1051, R2 0.6063
x50: Cal. error 0.0650, RMSE 0.1021, R2 0.6257
x51: Cal. error 0.0710, RMSE 0.1020, R2 0.6238
x52: Cal. error 0.0820, RMSE 0.1029, R2 0.6120
x53: Cal. error 0.0850, RMSE 0.1043, R2 0.5984
x54: Cal. error 0.1090, RMSE 0.1048, R2 0.5931
x55: Cal. error 0.1370, RMSE 0.1071, R2 0.5747
x56: Cal. error 0.1430, RMSE 0.1077, R2 0.5696
x57: Cal. error 0.1260, RMSE 0.1097, R2 0.5527
x58: Cal. error 0.1390, RMSE 0.1112, R2 0.5429
x59: Cal. error 0.1440, RMSE 0.1136, R2 0.5265
x60: Cal. error 0.1470, RMSE 0.1111, R2 0.5502
x61: Cal. error 0.1720, RMSE 0.1090, R2 0.5710
x62: Cal. error 0.2240, RMSE 0.1084, R2 0.5789
x63: Cal. error 0.3000, RMSE 0.1395, R2 0.3091
x64: Cal. error 0.2230, RMSE 0.1434, R2 0.2727
x65: Cal. error 0.1740, RMSE 0.1208, R2 0.4887
x66: Cal. error 0.1230, RMSE 0.1179, R2 0.5149
x67: Cal. error 0.0950, RMSE 0.1130, R2 0.5582
x68: Cal. error 0.1060, RMSE 0.1120, R2 0.5681
x69: Cal. error 0.0830, RMSE 0.1095, R2 0.5867
x70: Cal. error 0.0830, RMSE 0.1077, R2 0.6002
x71: Cal. error 0.0690, RMSE 0.1076, R2 0.6003
x72: Cal. error 0.0860, RMSE 0.1089, R2 0.5886
x73: Cal. error 0.0700, RMSE 0.1080, R2 0.5914
x74: Cal. error 0.0590, RMSE 0.1064, R2 0.5995
x75: Cal. error 0.0450, RMSE 0.1053, R2 0.6028
x76: Cal. error 0.0560, RMSE 0.1057, R2 0.5940
x77: Cal. error 0.0640, RMSE 0.1065, R2 0.5823
x78: Cal. error 0.0690, RMSE 0.1067, R2 0.5749
x79: Cal. error 0.0660, RMSE 0.1066, R2 0.5695
x80: Cal. error 0.0830, RMSE 0.1062, R2 0.5666
x81: Cal. error 0.0840, RMSE 0.1057, R2 0.5653
x82: Cal. error 0.0950, RMSE 0.1057, R2 0.5613
x83: Cal. error 0.0920, RMSE 0.1060, R2 0.5550
x84: Cal. error 0.1180, RMSE 0.1068, R2 0.5455
x85: Cal. error 0.1220, RMSE 0.1081, R2 0.5337
x86: Cal. error 0.1430, RMSE 0.1101, R2 0.5146
x87: Cal. error 0.1730, RMSE 0.1123, R2 0.4951
x88: Cal. error 0.1790, RMSE 0.1146, R2 0.4760
x89: Cal. error 0.1870, RMSE 0.1171, R2 0.4546
x90: Cal. error 0.2180, RMSE 0.1210, R2 0.4224
x91: Cal. error 0.2400, RMSE 0.1243, R2 0.3938
x92: Cal. error 0.2420, RMSE 0.1269, R2 0.3739
x93: Cal. error 0.2170, RMSE 0.1285, R2 0.3648
x94: Cal. error 0.2100, RMSE 0.1296, R2 0.3590
x95: Cal. error 0.1790, RMSE 0.1314, R2 0.3457
x96: Cal. error 0.1920, RMSE 0.1327, R2 0.3402
x97: Cal. error 0.1880, RMSE 0.1333, R2 0.3379
x98: Cal. error 0.1820, RMSE 0.1348, R2 0.3294
x99: Cal. error 0.1800, RMSE 0.1358, R2 0.3262
x100: Cal. error 0.1760, RMSE 0.1361, R2 0.3252
x101: Cal. error 0.1490, RMSE 0.1354, R2 0.3258
x102: Cal. error 0.1440, RMSE 0.1362, R2 0.3243
x103: Cal. error 0.1340, RMSE 0.1387, R2 0.3092
x104: Cal. error 0.1290, RMSE 0.1383, R2 0.3147
x105: Cal. error 0.1230, RMSE 0.1379, R2 0.3208
x106: Cal. error 0.1330, RMSE 0.1382, R2 0.3238
x107: Cal. error 0.1210, RMSE 0.1393, R2 0.3176
x108: Cal. error 0.1200, RMSE 0.1398, R2 0.3172
x109: Cal. error 0.1000, RMSE 0.1397, R2 0.3181
x110: Cal. error 0.0940, RMSE 0.1401, R2 0.3136
x111: Cal. error 0.0890, RMSE 0.1415, R2 0.2986
x112: Cal. error 0.0890, RMSE 0.1399, R2 0.3063
x113: Cal. error 0.0580, RMSE 0.1367, R2 0.3319
x114: Cal. error 0.0710, RMSE 0.1344, R2 0.3491
x115: Cal. error 0.0700, RMSE 0.1332, R2 0.3552
x116: Cal. error 0.0870, RMSE 0.1323, R2 0.3557
x117: Cal. error 0.0900, RMSE 0.1326, R2 0.3477
x118: Cal. error 0.1010, RMSE 0.1330, R2 0.3428
x119: Cal. error 0.1220, RMSE 0.1342, R2 0.3284
x120: Cal. error 0.1180, RMSE 0.1351, R2 0.3193
x121: Cal. error 0.1170, RMSE 0.1365, R2 0.3043
x122: Cal. error 0.1400, RMSE 0.1377, R2 0.2962
x123: Cal. error 0.1730, RMSE 0.1405, R2 0.2720
x124: Cal. error 0.1990, RMSE 0.1424, R2 0.2581
x125: Cal. error 0.1960, RMSE 0.1421, R2 0.2677
x126: Cal. error 0.2250, RMSE 0.1407, R2 0.2867
x127: Cal. error 0.2940, RMSE 0.1615, R2 0.0682
x128: Cal. error 0.0400, RMSE 0.0841, R2 0.7761
x129: Cal. error 0.0260, RMSE 0.0818, R2 0.7991
x130: Cal. error 0.0470, RMSE 0.0837, R2 0.8053
x131: Cal. error 0.0720, RMSE 0.0821, R2 0.8166
x132: Cal. error 0.0690, RMSE 0.0805, R2 0.8280
x133: Cal. error 0.0850, RMSE 0.0763, R2 0.8481
x134: Cal. error 0.0990, RMSE 0.0736, R2 0.8626
x135: Cal. error 0.1300, RMSE 0.0712, R2 0.8741
x136: Cal. error 0.1500, RMSE 0.0681, R2 0.8800
x137: Cal. error 0.1400, RMSE 0.0662, R2 0.8845
x138: Cal. error 0.1240, RMSE 0.0658, R2 0.8839
x139: Cal. error 0.0930, RMSE 0.0661, R2 0.8798
x140: Cal. error 0.0630, RMSE 0.0663, R2 0.8726
x141: Cal. error 0.0340, RMSE 0.0652, R2 0.8689
x142: Cal. error 0.0320, RMSE 0.0635, R2 0.8691
x143: Cal. error 0.0290, RMSE 0.0622, R2 0.8690
x144: Cal. error 0.0190, RMSE 0.0612, R2 0.8687
x145: Cal. error 0.0220, RMSE 0.0615, R2 0.8638
x146: Cal. error 0.0350, RMSE 0.0625, R2 0.8551
x147: Cal. error 0.0570, RMSE 0.0645, R2 0.8431
x148: Cal. error 0.0780, RMSE 0.0663, R2 0.8317
x149: Cal. error 0.1060, RMSE 0.0694, R2 0.8153
x150: Cal. error 0.1290, RMSE 0.0727, R2 0.7996
x151: Cal. error 0.1340, RMSE 0.0755, R2 0.7818
x152: Cal. error 0.0960, RMSE 0.0768, R2 0.7650
x153: Cal. error 0.1000, RMSE 0.0807, R2 0.7395
x154: Cal. error 0.0850, RMSE 0.0846, R2 0.7214
x155: Cal. error 0.0660, RMSE 0.0886, R2 0.7087
x156: Cal. error 0.0480, RMSE 0.0936, R2 0.7000
x157: Cal. error 0.0310, RMSE 0.0994, R2 0.6978
x158: Cal. error 0.0250, RMSE 0.1029, R2 0.7063
x159: Cal. error 0.0380, RMSE 0.0973, R2 0.7128
x160: Cal. error 0.0350, RMSE 0.0922, R2 0.7212
x161: Cal. error 0.0210, RMSE 0.0901, R2 0.7168
x162: Cal. error 0.0270, RMSE 0.0895, R2 0.7159
x163: Cal. error 0.0240, RMSE 0.0908, R2 0.7114
x164: Cal. error 0.0240, RMSE 0.0922, R2 0.7126
x165: Cal. error 0.0250, RMSE 0.0940, R2 0.7136
x166: Cal. error 0.0250, RMSE 0.0948, R2 0.7225
x167: Cal. error 0.0260, RMSE 0.0967, R2 0.7270
x168: Cal. error 0.0310, RMSE 0.0975, R2 0.7348
x169: Cal. error 0.0280, RMSE 0.0956, R2 0.7370
x170: Cal. error 0.0440, RMSE 0.0940, R2 0.7393
x171: Cal. error 0.0450, RMSE 0.0976, R2 0.7362
x172: Cal. error 0.0560, RMSE 0.0972, R2 0.7407
x173: Cal. error 0.0460, RMSE 0.0962, R2 0.7394
x174: Cal. error 0.0370, RMSE 0.0958, R2 0.7381
x175: Cal. error 0.0310, RMSE 0.0962, R2 0.7301
x176: Cal. error 0.0510, RMSE 0.0967, R2 0.7241
x177: Cal. error 0.0720, RMSE 0.0987, R2 0.7200
x178: Cal. error 0.1070, RMSE 0.0998, R2 0.7085
x179: Cal. error 0.1440, RMSE 0.1003, R2 0.6866
x180: Cal. error 0.1690, RMSE 0.1009, R2 0.6620
x181: Cal. error 0.1770, RMSE 0.1028, R2 0.6403
x182: Cal. error 0.2000, RMSE 0.1031, R2 0.6306
x183: Cal. error 0.1920, RMSE 0.1027, R2 0.6198
x184: Cal. error 0.1440, RMSE 0.1018, R2 0.6267
x185: Cal. error 0.1290, RMSE 0.1047, R2 0.6156
x186: Cal. error 0.1100, RMSE 0.1089, R2 0.6012
x187: Cal. error 0.0890, RMSE 0.1143, R2 0.5833
x188: Cal. error 0.0900, RMSE 0.1131, R2 0.5826
x189: Cal. error 0.1020, RMSE 0.1133, R2 0.5780
x190: Cal. error 0.1430, RMSE 0.1124, R2 0.5857
x191: Cal. error 0.1620, RMSE 0.1121, R2 0.5902
x192: Cal. error 0.1140, RMSE 0.1157, R2 0.5742
x193: Cal. error 0.0620, RMSE 0.1153, R2 0.5997
x194: Cal. error 0.0460, RMSE 0.1181, R2 0.6105
x195: Cal. error 0.0680, RMSE 0.1215, R2 0.5959
x196: Cal. error 0.0630, RMSE 0.1208, R2 0.6116
x197: Cal. error 0.0520, RMSE 0.1189, R2 0.6296
x198: Cal. error 0.0640, RMSE 0.1180, R2 0.6455
x199: Cal. error 0.0710, RMSE 0.1172, R2 0.6574
x200: Cal. error 0.0850, RMSE 0.1137, R2 0.6639
x201: Cal. error 0.0890, RMSE 0.1121, R2 0.6667
x202: Cal. error 0.1040, RMSE 0.1116, R2 0.6635
x203: Cal. error 0.0980, RMSE 0.1104, R2 0.6624
x204: Cal. error 0.1250, RMSE 0.1086, R2 0.6553
x205: Cal. error 0.1440, RMSE 0.1049, R2 0.6575
x206: Cal. error 0.1360, RMSE 0.1019, R2 0.6599
x207: Cal. error 0.1370, RMSE 0.0990, R2 0.6659
x208: Cal. error 0.1550, RMSE 0.0969, R2 0.6687
x209: Cal. error 0.1610, RMSE 0.0956, R2 0.6679
x210: Cal. error 0.1580, RMSE 0.0959, R2 0.6566
x211: Cal. error 0.1720, RMSE 0.0965, R2 0.6465
x212: Cal. error 0.1960, RMSE 0.0978, R2 0.6316
x213: Cal. error 0.1740, RMSE 0.0996, R2 0.6170
x214: Cal. error 0.1900, RMSE 0.1033, R2 0.5929
x215: Cal. error 0.1570, RMSE 0.1056, R2 0.5707
x216: Cal. error 0.1510, RMSE 0.1068, R2 0.5438
x217: Cal. error 0.1550, RMSE 0.1101, R2 0.5137
x218: Cal. error 0.1600, RMSE 0.1157, R2 0.4778
x219: Cal. error 0.1600, RMSE 0.1216, R2 0.4499
x220: Cal. error 0.1500, RMSE 0.1286, R2 0.4336
x221: Cal. error 0.1240, RMSE 0.1364, R2 0.4302
x222: Cal. error 0.1170, RMSE 0.1436, R2 0.4269
x223: Cal. error 0.1090, RMSE 0.1372, R2 0.4293
x224: Cal. error 0.1220, RMSE 0.1304, R2 0.4427
x225: Cal. error 0.1500, RMSE 0.1263, R2 0.4432
x226: Cal. error 0.1530, RMSE 0.1270, R2 0.4266
x227: Cal. error 0.1550, RMSE 0.1294, R2 0.4131
x228: Cal. error 0.1490, RMSE 0.1321, R2 0.4089
x229: Cal. error 0.1520, RMSE 0.1342, R2 0.4147
x230: Cal. error 0.1300, RMSE 0.1367, R2 0.4214
x231: Cal. error 0.1100, RMSE 0.1399, R2 0.4274
x232: Cal. error 0.0990, RMSE 0.1401, R2 0.4512
x233: Cal. error 0.1080, RMSE 0.1358, R2 0.4669
x234: Cal. error 0.1080, RMSE 0.1336, R2 0.4718
x235: Cal. error 0.1250, RMSE 0.1382, R2 0.4698
x236: Cal. error 0.1290, RMSE 0.1385, R2 0.4717
x237: Cal. error 0.1210, RMSE 0.1367, R2 0.4721
x238: Cal. error 0.1270, RMSE 0.1366, R2 0.4662
x239: Cal. error 0.1140, RMSE 0.1370, R2 0.4508
x240: Cal. error 0.1240, RMSE 0.1372, R2 0.4441
x241: Cal. error 0.1010, RMSE 0.1396, R2 0.4390
x242: Cal. error 0.1360, RMSE 0.1401, R2 0.4246
x243: Cal. error 0.1610, RMSE 0.1374, R2 0.4111
x244: Cal. error 0.1740, RMSE 0.1349, R2 0.3947
x245: Cal. error 0.1620, RMSE 0.1350, R2 0.3777
x246: Cal. error 0.1970, RMSE 0.1345, R2 0.3691
x247: Cal. error 0.1990, RMSE 0.1334, R2 0.3551
x248: Cal. error 0.1910, RMSE 0.1339, R2 0.3505
x249: Cal. error 0.1450, RMSE 0.1380, R2 0.3284
x250: Cal. error 0.1410, RMSE 0.1431, R2 0.3088
x251: Cal. error 0.1620, RMSE 0.1493, R2 0.2864
