Calibration metrics:
x0: Cal. error 0.4990, RMSE 0.3969, R2 -4.6684
x1: Cal. error 0.4850, RMSE 0.4260, R2 -5.4753
x2: Cal. error 0.4880, RMSE 0.4691, R2 -6.8200
x3: Cal. error 0.4910, RMSE 0.4773, R2 -7.0300
x4: Cal. error 0.4880, RMSE 0.4953, R2 -7.6171
x5: Cal. error 0.4880, RMSE 0.4952, R2 -7.6270
x6: Cal. error 0.4810, RMSE 0.4991, R2 -7.7740
x7: Cal. error 0.4810, RMSE 0.4983, R2 -7.7747
x8: Cal. error 0.4700, RMSE 0.4934, R2 -7.6434
x9: Cal. error 0.4680, RMSE 0.4847, R2 -7.4333
x10: Cal. error 0.4680, RMSE 0.4775, R2 -7.2822
x11: Cal. error 0.4640, RMSE 0.4720, R2 -7.1992
x12: Cal. error 0.4600, RMSE 0.4633, R2 -7.0267
x13: Cal. error 0.4650, RMSE 0.4584, R2 -6.9753
x14: Cal. error 0.4630, RMSE 0.4559, R2 -7.0044
x15: Cal. error 0.4680, RMSE 0.4558, R2 -7.1191
x16: Cal. error 0.4640, RMSE 0.4538, R2 -7.1711
x17: Cal. error 0.4800, RMSE 0.4554, R2 -7.3340
x18: Cal. error 0.4800, RMSE 0.4610, R2 -7.6300
x19: Cal. error 0.4820, RMSE 0.4680, R2 -7.9730
x20: Cal. error 0.4820, RMSE 0.4743, R2 -8.2806
x21: Cal. error 0.4770, RMSE 0.4796, R2 -8.5180
x22: Cal. error 0.4730, RMSE 0.4861, R2 -8.8060
x23: Cal. error 0.4750, RMSE 0.4903, R2 -8.9874
x24: Cal. error 0.4680, RMSE 0.4926, R2 -9.0569
x25: Cal. error 0.4710, RMSE 0.4962, R2 -9.1761
x26: Cal. error 0.4740, RMSE 0.5018, R2 -9.3410
x27: Cal. error 0.4750, RMSE 0.5066, R2 -9.4874
x28: Cal. error 0.4800, RMSE 0.5096, R2 -9.5233
x29: Cal. error 0.4870, RMSE 0.5116, R2 -9.5112
x30: Cal. error 0.4880, RMSE 0.5122, R2 -9.4581
x31: Cal. error 0.4910, RMSE 0.5124, R2 -9.4018
x32: Cal. error 0.4880, RMSE 0.5104, R2 -9.2095
x33: Cal. error 0.4850, RMSE 0.5082, R2 -9.0570
x34: Cal. error 0.4850, RMSE 0.5072, R2 -8.9314
x35: Cal. error 0.4850, RMSE 0.5092, R2 -8.9114
x36: Cal. error 0.4870, RMSE 0.5080, R2 -8.8328
x37: Cal. error 0.4880, RMSE 0.5040, R2 -8.7610
x38: Cal. error 0.4850, RMSE 0.5070, R2 -8.7644
x39: Cal. error 0.4770, RMSE 0.5134, R2 -8.8575
x40: Cal. error 0.4800, RMSE 0.5135, R2 -8.8254
x41: Cal. error 0.4800, RMSE 0.5140, R2 -8.7948
x42: Cal. error 0.4780, RMSE 0.5189, R2 -8.8825
x43: Cal. error 0.4810, RMSE 0.5243, R2 -8.9963
x44: Cal. error 0.4870, RMSE 0.5285, R2 -9.0746
x45: Cal. error 0.4800, RMSE 0.5323, R2 -9.2045
x46: Cal. error 0.4800, RMSE 0.5394, R2 -9.4611
x47: Cal. error 0.4820, RMSE 0.5481, R2 -9.8026
x48: Cal. error 0.4910, RMSE 0.5503, R2 -9.9900
x49: Cal. error 0.4920, RMSE 0.5523, R2 -10.1634
x50: Cal. error 0.4940, RMSE 0.5550, R2 -10.3453
x51: Cal. error 0.4940, RMSE 0.5527, R2 -10.3212
x52: Cal. error 0.4940, RMSE 0.5437, R2 -10.0782
x53: Cal. error 0.4970, RMSE 0.5303, R2 -9.6044
x54: Cal. error 0.4990, RMSE 0.5192, R2 -9.1814
x55: Cal. error 0.4990, RMSE 0.5070, R2 -8.7258
