Calibration metrics:
x0: Cal. error 0.1980, RMSE 0.3191, R2 -2.5833
x1: Cal. error 0.2550, RMSE 0.3519, R2 -3.3172
x2: Cal. error 0.2850, RMSE 0.3782, R2 -3.9626
x3: Cal. error 0.2950, RMSE 0.4289, R2 -5.3222
x4: Cal. error 0.3050, RMSE 0.4531, R2 -6.0260
x5: Cal. error 0.3050, RMSE 0.4987, R2 -7.5132
x6: Cal. error 0.3130, RMSE 0.5123, R2 -7.9880
x7: Cal. error 0.3050, RMSE 0.5312, R2 -8.6861
x8: Cal. error 0.3150, RMSE 0.5252, R2 -8.5003
x9: Cal. error 0.3150, RMSE 0.5261, R2 -8.6263
x10: Cal. error 0.3150, RMSE 0.5229, R2 -8.6136
x11: Cal. error 0.3150, RMSE 0.5130, R2 -8.3643
x12: Cal. error 0.3150, RMSE 0.5040, R2 -8.1721
x13: Cal. error 0.3150, RMSE 0.4835, R2 -7.5576
x14: Cal. error 0.3050, RMSE 0.4699, R2 -7.1946
x15: Cal. error 0.3050, RMSE 0.4452, R2 -6.4621
x16: Cal. error 0.2950, RMSE 0.4230, R2 -5.8346
x17: Cal. error 0.2950, RMSE 0.3793, R2 -4.5600
x18: Cal. error 0.2810, RMSE 0.3519, R2 -3.8355
x19: Cal. error 0.2550, RMSE 0.3249, R2 -3.1532
x20: Cal. error 0.1950, RMSE 0.3108, R2 -2.8267
x21: Cal. error 0.1230, RMSE 0.2767, R2 -2.0399
x22: Cal. error 0.0560, RMSE 0.2366, R2 -1.2280
x23: Cal. error 0.4170, RMSE 0.1955, R2 -0.5213
x24: Cal. error 0.2580, RMSE 0.1799, R2 -0.2844
x25: Cal. error 0.0740, RMSE 0.2213, R2 -0.9391
x26: Cal. error 0.1920, RMSE 0.2373, R2 -1.2141
x27: Cal. error 0.2380, RMSE 0.2647, R2 -1.7389
x28: Cal. error 0.2950, RMSE 0.2616, R2 -1.6514
x29: Cal. error 0.3050, RMSE 0.2844, R2 -2.1030
x30: Cal. error 0.3250, RMSE 0.2944, R2 -2.3008
x31: Cal. error 0.3350, RMSE 0.3131, R2 -2.7075
x32: Cal. error 0.3520, RMSE 0.3183, R2 -2.7889
x33: Cal. error 0.3550, RMSE 0.3368, R2 -3.2142
x34: Cal. error 0.3650, RMSE 0.3364, R2 -3.1708
x35: Cal. error 0.3630, RMSE 0.3571, R2 -3.6506
x36: Cal. error 0.3650, RMSE 0.3626, R2 -3.7808
x37: Cal. error 0.3650, RMSE 0.3751, R2 -4.1656
x38: Cal. error 0.3750, RMSE 0.3757, R2 -4.1323
x39: Cal. error 0.3750, RMSE 0.3921, R2 -4.5065
x40: Cal. error 0.3750, RMSE 0.3961, R2 -4.6076
x41: Cal. error 0.3750, RMSE 0.4083, R2 -4.9383
x42: Cal. error 0.3750, RMSE 0.4176, R2 -5.1607
x43: Cal. error 0.3750, RMSE 0.4227, R2 -5.2676
x44: Cal. error 0.3650, RMSE 0.4305, R2 -5.4573
x45: Cal. error 0.3670, RMSE 0.4264, R2 -5.3374
x46: Cal. error 0.3650, RMSE 0.4244, R2 -5.2789
x47: Cal. error 0.3650, RMSE 0.4069, R2 -4.7815
x48: Cal. error 0.3620, RMSE 0.3913, R2 -4.4059
x49: Cal. error 0.3650, RMSE 0.3567, R2 -3.5354
x50: Cal. error 0.3550, RMSE 0.3362, R2 -3.0622
x51: Cal. error 0.3550, RMSE 0.2984, R2 -2.2238
x52: Cal. error 0.3350, RMSE 0.2770, R2 -1.8128
x53: Cal. error 0.3050, RMSE 0.2465, R2 -1.2437
x54: Cal. error 0.2350, RMSE 0.2249, R2 -0.8723
x55: Cal. error 0.1580, RMSE 0.1681, R2 -0.0491
x56: Cal. error 0.0960, RMSE 0.1396, R2 0.2765
x57: Cal. error 0.4400, RMSE 0.1339, R2 0.3340
x58: Cal. error 0.3230, RMSE 0.1293, R2 0.3819
x59: Cal. error 0.2900, RMSE 0.1275, R2 0.4031
x60: Cal. error 0.2630, RMSE 0.1297, R2 0.3869
x61: Cal. error 0.2670, RMSE 0.1275, R2 0.4132
x62: Cal. error 0.2830, RMSE 0.1294, R2 0.3996
x63: Cal. error 0.3420, RMSE 0.1363, R2 0.3399
x64: Cal. error 0.2350, RMSE 0.5186, R2 -8.5171
x65: Cal. error 0.2020, RMSE 0.5692, R2 -10.3587
x66: Cal. error 0.2210, RMSE 0.6105, R2 -12.0032
x67: Cal. error 0.2420, RMSE 0.6529, R2 -13.7402
x68: Cal. error 0.2320, RMSE 0.6646, R2 -14.2076
x69: Cal. error 0.1710, RMSE 0.6477, R2 -13.4516
x70: Cal. error 0.1070, RMSE 0.6215, R2 -12.3077
x71: Cal. error 0.1030, RMSE 0.6072, R2 -11.7380
x72: Cal. error 0.1200, RMSE 0.5944, R2 -11.2498
x73: Cal. error 0.1180, RMSE 0.6004, R2 -11.6207
x74: Cal. error 0.1110, RMSE 0.6041, R2 -11.9175
x75: Cal. error 0.1080, RMSE 0.6155, R2 -12.5684
x76: Cal. error 0.1060, RMSE 0.6113, R2 -12.5859
x77: Cal. error 0.1070, RMSE 0.5982, R2 -12.1908
x78: Cal. error 0.1050, RMSE 0.5662, R2 -10.9791
x79: Cal. error 0.0980, RMSE 0.5326, R2 -9.7460
x80: Cal. error 0.0750, RMSE 0.4905, R2 -8.2505
x81: Cal. error 0.1010, RMSE 0.4593, R2 -7.2038
x82: Cal. error 0.1590, RMSE 0.4250, R2 -6.0983
x83: Cal. error 0.2410, RMSE 0.3922, R2 -5.0910
x84: Cal. error 0.4020, RMSE 0.3659, R2 -4.3354
x85: Cal. error 0.4990, RMSE 0.3528, R2 -3.9704
x86: Cal. error 0.4990, RMSE 0.3502, R2 -3.9093
x87: Cal. error 0.4730, RMSE 0.3590, R2 -4.1585
x88: Cal. error 0.4250, RMSE 0.3879, R2 -5.0016
x89: Cal. error 0.3810, RMSE 0.4347, R2 -6.5124
x90: Cal. error 0.2840, RMSE 0.4831, R2 -8.2112
x91: Cal. error 0.1880, RMSE 0.4989, R2 -8.7671
x92: Cal. error 0.0910, RMSE 0.4897, R2 -8.3214
x93: Cal. error 0.1280, RMSE 0.4786, R2 -7.8161
x94: Cal. error 0.1370, RMSE 0.4667, R2 -7.3181
x95: Cal. error 0.1360, RMSE 0.4651, R2 -7.2007
x96: Cal. error 0.1330, RMSE 0.4849, R2 -7.8142
x97: Cal. error 0.1440, RMSE 0.5188, R2 -9.0229
x98: Cal. error 0.1540, RMSE 0.5607, R2 -10.6092
x99: Cal. error 0.1550, RMSE 0.6000, R2 -12.1600
x100: Cal. error 0.1590, RMSE 0.6191, R2 -12.9709
x101: Cal. error 0.1590, RMSE 0.6182, R2 -13.0647
x102: Cal. error 0.1570, RMSE 0.6018, R2 -12.1929
x103: Cal. error 0.1480, RMSE 0.5835, R2 -11.2217
x104: Cal. error 0.1400, RMSE 0.5587, R2 -10.1810
x105: Cal. error 0.1390, RMSE 0.5480, R2 -9.7231
x106: Cal. error 0.1350, RMSE 0.5530, R2 -9.8292
x107: Cal. error 0.1400, RMSE 0.5772, R2 -10.7164
x108: Cal. error 0.1420, RMSE 0.5999, R2 -11.5747
x109: Cal. error 0.1480, RMSE 0.6133, R2 -12.1506
x110: Cal. error 0.1470, RMSE 0.5922, R2 -11.2597
x111: Cal. error 0.1410, RMSE 0.5623, R2 -10.0754
x112: Cal. error 0.1310, RMSE 0.5225, R2 -8.6698
x113: Cal. error 0.1110, RMSE 0.4894, R2 -7.5682
x114: Cal. error 0.0890, RMSE 0.4395, R2 -5.9650
x115: Cal. error 0.0670, RMSE 0.4080, R2 -5.0489
x116: Cal. error 0.2160, RMSE 0.4090, R2 -5.1540
x117: Cal. error 0.3970, RMSE 0.4088, R2 -5.1960
x118: Cal. error 0.4840, RMSE 0.4055, R2 -5.1136
x119: Cal. error 0.5050, RMSE 0.3957, R2 -4.8364
x120: Cal. error 0.5050, RMSE 0.4092, R2 -5.2427
x121: Cal. error 0.5020, RMSE 0.4203, R2 -5.5932
x122: Cal. error 0.4990, RMSE 0.4182, R2 -5.4938
x123: Cal. error 0.4970, RMSE 0.3957, R2 -4.7784
x124: Cal. error 0.4970, RMSE 0.3896, R2 -4.5569
x125: Cal. error 0.4940, RMSE 0.3848, R2 -4.3738
x126: Cal. error 0.4940, RMSE 0.3620, R2 -3.7217
x127: Cal. error 0.4910, RMSE 0.3408, R2 -3.1474
